sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
1;Alice CARNEGIE;711111202;111-11-0091;AliceCARNEGIE2155@hotmail.com;907-488-1510;house;1235;200 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;66;2;1;2;Y;Y;Y;N;N;93600;85187;5;NA;17-01-2001;24-01-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
2;Isla MCQUEEN;711111203;111-11-0092;IslaMCQUEEN2155@hotmail.com;907-488-1511;house;964;201 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;58;2;2;2;Y;Y;Y;Y;N;158500;149640;5;NA;17-01-2001;09-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
3;Eleanor CARRIGAN;711111204;111-11-0093;EleanorCARRIGAN2155@yahoo.com;907-488-1512;house;2291;202 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;28;4;3;2;Y;N;Y;Y;S;128900;125157;5;NA;17-01-2001;12-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
4;Olive DORAN;711111205;111-11-0094;OliveDORAN2155@yahoo.com;907-488-1513;house;1786;203 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;62;3;4;2;Y;Y;Y;N;S;199750;190504;5;NA;17-01-2001;12-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
5;Chloe PRICE;711111206;111-11-0095;ChloePRICE2155@hotmail.com;907-488-1514;house;1470;204 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;55;3;3;2;Y;Y;Y;N;E;180000;178868;5;NA;17-01-2001;20-01-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
6;Amelia MCROBB;711111207;111-11-0096;AmeliaMCROBB2155@yahoo.com;907-488-1515;house;1588;205 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;36;3;2;2;Y;Y;Y;N;W;209000;201612;5;NA;17-01-2001;02-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
7;Amelia LONGMUIR;711111208;111-11-0097;AmeliaLONGMUIR2155@hotmail.com;907-488-1516;house;960;206 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;11;3;2;1;Y;Y;Y;Y;N;89750;79829;5;NA;17-01-2001;24-01-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
8;Billie CAREY;711111209;111-11-0098;BillieCAREY2155@hotmail.com;907-488-1517;house;835;207 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;14;2;1;1;Y;N;Y;Y;E;78000;71783;5;NA;17-01-2001;03-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
9;Abigail WEBSTER;711111210;111-11-0099;AbigailWEBSTER2155@yahoo.com;907-488-1518;house;1225;208 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;11;3;3;0;Y;Y;Y;N;W;123950;118013;5;NA;17-01-2001;05-02-2001;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR,  AK, 99705;907-488-4800;northpole@realstateUSA.com
10;Hannah VANCE;711111211;111-11-0100;HannahVANCE2155@yahoo.com;907-488-1519;house;1610;10 E Street, Anchorage, AK, 99501;64;3;3;2;Y;Y;Y;N;N;200000;193862;5;NA;17-01-2001;29-01-2001;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
